timestamp,ECG_I,ECG_II,ECG_III,AccX,AccY,AccZ,AccMag
5576.0,1.924729,1.985453,0.060724,0.4707,0.8238,10.3558,10.399172975289911
5586.0,1.882439,1.91497,0.032531,0.4707,0.8238,10.3166,10.360137088378705
5596.0,1.858583,1.892198,0.033615,0.4707,0.7061,10.3166,10.351442955453118
5606.0,1.804366,1.80545,0.001084,0.4707,0.7845,10.3166,10.357086187726738
5616.0,1.781594,1.7881,0.006506,0.4707,0.7061,10.2774,10.312375403368518
5626.0,1.794607,1.802197,0.00759,0.4315,0.7453,10.3558,10.391547429521745
5636.0,1.782679,1.784847,0.002169,0.4707,0.7061,10.3558,10.390511505214747
5646.0,1.802197,1.809787,0.00759,0.4707,0.7453,10.3558,10.39324897325182
5656.0,1.7881,1.794607,0.006506,0.5099,0.7453,10.395,10.43415042540599
5666.0,1.796775,1.809787,0.013012,0.5099,0.7845,10.2774,10.31990256833852
5676.0,1.802197,1.814125,0.011928,0.4707,0.7453,10.2774,10.315133607472083
5686.0,1.781594,1.785932,0.004337,0.5099,0.7453,10.3558,10.395098063029517
5696.0,1.676412,1.692677,0.016265,0.4707,0.8238,10.3166,10.360137088378705
5706.0,1.729545,1.754485,0.02494,0.5099,0.7453,10.3166,10.356046816232533
5716.0,2.263048,2.413773,0.150725,0.4707,0.7453,10.3166,10.354190752540731
5726.0,2.709802,2.978722,0.26892,0.4707,0.7453,10.395,10.432308257523834
5736.0,2.282566,2.45281,0.170244,0.4315,0.7453,10.2774,10.313419176005599
5746.0,1.745811,1.739304,-0.006506,0.4315,0.7453,10.3166,10.35248278916705
5756.0,1.626532,1.598338,-0.028193,0.4315,0.7453,10.3558,10.391547429521745
5766.0,1.745811,1.716533,-0.029278,0.4315,0.8238,10.3558,10.397472401021318
5776.0,1.765329,1.747979,-0.01735,0.4707,0.8238,10.3166,10.360137088378705
5786.0,1.744726,1.724123,-0.020603,0.5492,0.863,10.3558,10.406199271588067
5796.0,1.766413,1.747979,-0.018434,0.5099,0.863,10.3166,10.365182225605103
5806.0,1.753401,1.737136,-0.016265,0.5492,0.8238,10.3166,10.364000320339631
5816.0,1.759907,1.749064,-0.010844,0.5099,0.7845,10.3166,10.358941732628868
5826.0,1.766413,1.752317,-0.014097,0.5099,0.7061,10.3558,10.392361082064076
5836.0,1.756654,1.731714,-0.02494,0.5099,0.7061,10.3166,10.353299511749864
5846.0,1.775088,1.757738,-0.01735,0.4707,0.7061,10.3166,10.351442955453118
5856.0,1.769666,1.745811,-0.023856,0.5099,0.6669,10.3558,10.389771280446938
